300,/movie/300,300
12 Years a Slave,/movie/12-years-a-slave,12 Years a Slave
21 Jump Street,/movie/21-jump-street,21 Jump Street
Adaptation,/movie/adaptation,Adaptation
Alien,/movie/alien,Alien
Almost Famous,/movie/almost-famous_,Almost Famous
Amadeus,/movie/amadeus,Amadeus
Amelie,/movie/amelie,Amelie
America Hustle,/movie/american-hustle,American Hustle
Anchorman,/movie/anchorman-the-legend-of-ron-burgundy,Anchorman
Apollo 13,movie/apollo-13,Apollo 13
Armageddon,/movie/armageddon,Armageddon
Bad Lieutenant Port of Call New Orleans,/movie/the-bad-lieutenant-port-of-call---new-orleans,Bad Lieutenant Port of Call New Orleans
Barbershop,/movie/barbershop,Barbershop
Batman (Tim Burton Version),/movie/batman,Batman (Tim Burton Version)
Beauty and the Beast,/movie/beauty-and-the-beast,Beauty and the Beast
Bend It Like Beckham,/movie/bend-it-like-beckham,Bend It Like Beckham
Beowulf,/movie/beowulf,Beowulf
Best in Show,/movie/best-in-show,Best in Show
Bill and Ted's Excellent Adventure,/movie/bill-teds-excellent-adventure,Bill and Ted's Excellent Adventure
Billy Elliott,/movie/billy-elliot,Billy Elliott
Black Swan,/movie/black-swan,Black Swan
BlackFish,/movie/blackfish,BlackFish
Blade III,/movie/blade-trinity,Blade III
Blue is the Warmest Color,/movie/blue-is-the-warmest-color,Blue is the Warmest Color
Borat,/movie/borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan,Borat
Bowling for Columbine,/movie/bowling-for-columbine,Bowling for Columbine
Brave,/movie/brave,Brave
Bring It On,/movie/bring-it-on,Bring It On
Bruno,/movie/bruno,Bruno
Cabin In The Woods,/movie/the-cabin-in-the-woods,Cabin In The Woods
Cars 2,/movie/cars-2,Cars 2
Casino Royale,/movie/casino-royale,Casino Royale
Chicago,/movie/chicago,Chicago
Children of Men,/movie/children-of-men,Children of Men
City of Angels,/movie/city-of-angels,City of Angels
Confessions of a Dangerous Mind,/movie/confessions-of-a-dangerous-mind,Confessions of a Dangerous Mind
Deep Impact,/movie/deep-impact,Deep Impact
Django Unchained,/movie/django-unchained,Django Unchained
Edward Scissorhands,/movie/edward-scissorhands,Edward Scissorhands
Ender's Game,/movie/enders-game,Ender's Game
Equilibrium,/movie/equilibrium,Equilibrium
Evil Dead (2013),/movie/evil-dead-2013,Evil Dead (2013)
Fahrenheit 9/11,/movie/fahrenheit-911,Farenheit 9/11
Fantasia2000,/movie/fantasia2000,Fantasia
Fargo,/movie/fargo,Fargo
Finding Nemo,/movie/finding-nemo,Finding Nemo
Food Inc,/movie/food-inc,Food Inc
Foot Fist Way,/movie/the-foot-fist-way,Foot Fist Way
Four Weddings and a Funeral,/movie/four-weddings-and-a-funeral,Four Weddings and a Funeral
Free Willy,/movie/free-willy,Free Willy
From Dusk Till Dawn,/movie/from-dusk-till-dawn,From Dusk Till Dawn
Frozen,/movie/frozen-2013,Frozen
Girl with Dragon Tattoo (America),/movie/the-girl-with-the-dragon-tattoo-2011,Girl with Dragon Tattoo (America)
Girl with Dragon Tattoo (Sweden),/movie/the-girl-with-the-dragon-tattoo,Girl with Dragon Tattoo (Sweden)
Gladiator,/movie/gladiator,Gladiator
GoldenEye,/movie/goldeneye,GoldenEye
Gravity,/movie/gravity,Gravity
Groudhog Day,/movie/groundhog-day,Groudhog Day
Heist,/movie/heist,Heist
Her,/movie/her,Her
Hook,/movie/hook,Hook
Hostel,/movie/hostel,Hostel
Hugo,/movie/hugo,Hugo
I'm Still Here,/movie/im-still-here,I'm Still Here
Inside Llewyn Davis,/movie/inside-llewyn-davis,Inside Llewyn Davis
Jaws,/movie/jaws,Jaws
Juno,/movie/juno,Juno
Jurassic Park,/movie/jurassic-park,Jurassic Park
Justin Bieber: Never Say Never,/movie/justin-bieber-never-say-never,Justin Bieber: Never Say Never
Knocked Up,/movie/knocked-up,Knocked Up
La Casa De Mi Padre,/movie/casa-de-mi-padre,La Casa De Mi Padre
Let the Right One In,/movie/let-the-right-one-in,Let the Right One In
Lone Survivor,/movie/lone-survivor,Lone Survivor
Lord of the Rings 1,/movie/the-lord-of-the-rings-the-fellowship-of-the-ring,Lord of the Rings 1
Lord of the Rings 2,/movie/the-lord-of-the-rings-the-two-towers,Lord of the Rings 2
Love Actually,/movie/love-actually,Love Actually
Magic Mike,/movie/magic-mike,Magic Mike
Matrix Reloaded,/movie/the-matrix-reloaded,Matrix Reloaded
Meet the Fokkens,/movie/meet-the-fokkens,Meet the Fokkens
Melancholia,/movie/melancholia,Melancholia
Men In Black,/movie/men-in-black,Men In Black
Moneyball,/movie/moneyball,Moneyball
Mulan,/movie/mulan,Mulan
Nebraska,/movie/nebraska,Nebraska
Nightmare on Elm Street,/movie/a-nightmare-on-elm-street-1984,Nightmare on Elm Street
Notting Hill,/movie/notting-hill,Notting Hill
"O Brother, Where Art Thou",/movie/o-brother-where-art-thou,"O Brother, Where Art Thou"
Ocean's Eleven,/movie/oceans-eleven,Ocean's Eleven
Pianist,/movie/the-pianist,Pianist
Pompeii,/movie/pompeii,Pompeii
Pride and Prejudice,/movie/pride-prejudice,Pride and Prejudice
Princess Mononoke,/movie/princess-mononoke,Princess Mononoke
Pulp Fiction,/movie/pulp-fiction,Pulp Fiction
Quantum of Solace,/movie/quantum-of-solace,Quantum of Solace
Religulous,/movie/religulous,Religulous
Riddick,/movie/riddick,Riddick
Rize,/movie/rize,Rize
Rocky Horror Picture Show,/movie/the-rocky-horror-picture-show,Rocky Horror Picture Show
Romeo and Juliet (Baz Lurmann Version),/movie/romeo-juliet,Romeo and Juliet (Baz Lurmann Version)
Ronin,/movie/ronin,Ronin
Rush Hour,/movie/rush-hour,Rush Hour
Saving Private Ryan,/movie/saving-private-ryan,Saving Private Ryan
Scream,/movie/scream,Scream
Senna,/movie/senna,Senna
Shrek,/movie/shrek,Shrek
Solaris,/movie/solaris,Solaris
Something About Mary,/movie/theres-something-about-mary,Something About Mary
Spiderman III,/movie/spider-man-3,Spiderman III
Spinal Tap,/movie/this-is-spinal-tap,Spinal Tap
Spirited Away,/movie/spirited-away,Spirited Away
Star Wars Episode I,/movie/star-wars-episode-i---the-phantom-menace,Star Wars Episode I
Star Wars Episode II,/movie/star-wars-episode-ii---attack-of-the-clones,Star Wars Episode II
Star Wars Episode IV,/movie/star-wars-episode-iv---a-new-hope,Star Wars Episode IV
Star Wars Episode llI,/movie/star-wars-episode-iii---revenge-of-the-sith,Star Wars Episode V
Star Wars Episode V,/movie/star-wars-episode-v---the-empire-strikes-back,
Step Up,/movie/step-up,Step Up
Super Size Me,/movie/super-size-me,Super Size Me
Superbad,/movie/superbad,Superbad
"Synecdoche, NY",/movie/synecdoche-new-york,"Synecdoche, NY"
Take the Money and Run,/tv/take-the-money-and-run,Take the Money and Run
Talented Mister Ripley,/movie/the-talented-mr-ripley,Talented Mister Ripley
Talk to Her,/movie/talk-to-her,Talk to Her
Terminator,/movie/the-terminator,Terminator
Thank You For Smoking,/movie/thank-you-for-smoking,Thank You For Smoking
The 40 Year Old Virgin,/movie/the-40-year-old-virgin,The 40 Year Old Virgin
The Amazing Spiderman,/movie/the-amazing-spider-man,The Amazing Spiderman
The Aristocrats,/movie/the-aristocrats,The Aristocrats
The Armstrong Lie,/movie/the-armstrong-lie,The Armstrong Lie
The Big Lebowski,/movie/the-big-lebowski,The Big Lebowski
The Blind Side,/movie/the-blind-side,The Blind Side
The Dark Knight,/movie/the-dark-knight,The Dark Knight
The Descent,/movie/the-descent,The Descent
The Fast and the Furious,/movie/the-fast-and-the-furious,The Fast and the Furious
The Fighter,/movie/the-fighter,The Fighter
The Goonies,/movie/the-goonies,The Goonies
The Hunger Games 2,/movie/the-hunger-games-catching-fire,The Hunger Games 2
The Island,/movie/the-island,The Island
The Ladykillers,/movie/the-ladykillers,The Ladykillers
The Lost Boys of Sudan,/movie/lost-boys-of-sudan,The Lost Boys of Sudan
The Man in the Iron Mask,/movie/the-man-in-the-iron-mask,The Man in the Iron Mask
The Matrix,/movie/the-matrix,The Matrix
The Parent Trap,/movie/the-parent-trap,The Parent Trap
The Patriot,/movie/the-patriot,The Patriot
The Princess and the Frog,/movie/the-princess-and-the-frog,The Princess and the Frog
The Princess Bride,/movie/the-princess-bride,The Princess Bride
The Producers,/movie/the-producers,The Producers
The Ring,/movie/the-ring,The Ring
The Skin I Live In,/movie/the-skin-i-live-in,The Skin I Live In
The Spanish Prisoner,/movie/the-spanish-prisoner,The Spanish Prisoner
The Trip,/movie/the-trip-1969,The Trip
the Wolf Of Wall Street,/movie/the-wolf-of-wall-street,the Wolf Of Wall Street
Tintin,/movie/the-adventures-of-tintin,Tintin
Titan AE,/movie/titan-ae,Titan AE
Titanic,/movie/titanic,Titanic
Tomb Raider,/movie/lara-croft-tomb-raider,Tomb Raider
Toy Story,/movie/toy-story,Toy Story
Troy,/movie/troy,Troy
Up,/movie/up,Up
V for Vendetta,/movie/v-for-vendetta,V for Vendetta
Volver,/movie/volver,Volver
Walk Hard,/movie/walk-hard-the-dewey-cox-story,Walk Hard
Wall-E,/movie/walle,Wall-E
Wedding Crashers,/movie/wedding-crashers,Wedding Crashers
Whale Rider,/movie/whale-rider,Whale Rider
When Harry Met Sally,/movie/when-harry-met-sally,When Harry Met Sally
Women on the Edge of a Nervous Breakdown,/movie/women-on-the-verge-of-a-nervous-breakdown,Women on the Edge of a Nervous Breakdown
Zorro,/movie/the-legend-of-zorro,Zorro
